Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,4230.0000000000,4216.9228515625,4230.1284179688,4211.0258789063,4212.5639648438,4204.2309570313,4183.3334960938,4222.5639648438,4217.9487304688,4221.1538085938,4240.1284179688,4244.6152343750,4222.8203125000,4207.1796875000,,,
0.0078125000,0,4214.1025390625,4200.7690429688,4216.0258789063,4199.7436523438,4205.2563476563,4191.2822265625,4177.0512695313,4216.1538085938,4211.6665039063,4222.0512695313,4230.5126953125,4226.9228515625,4210.7690429688,4199.2309570313,,,
0.0156250000,0,4194.3588867188,4186.4101562500,4200.2563476563,4191.9228515625,4194.6152343750,4180.7690429688,4169.8715820313,4209.3588867188,4207.8203125000,4220.2563476563,4216.1538085938,4212.6923828125,4199.3588867188,4184.7436523438,,,
0.0234375000,0,4200.8974609375,4192.9487304688,4193.8461914063,4189.7436523438,4206.4101562500,4193.9741210938,4170.3847656250,4207.3076171875,4209.2309570313,4213.4614257813,4208.0771484375,4213.8461914063,4194.3588867188,4179.4873046875,,,
0.0312500000,1,4200.8974609375,4195.8974609375,4193.2050781250,4190.8974609375,4224.4873046875,4201.9228515625,4165.6411132813,4210.1284179688,4208.4614257813,4207.0512695313,4205.1284179688,4209.3588867188,4192.0512695313,4177.1796875000,,,
0.0390625000,1,4193.5898437500,4175.2563476563,4182.9487304688,4184.6152343750,4215.5126953125,4187.5639648438,4164.4873046875,4201.7949218750,4198.2050781250,4203.8461914063,4191.7949218750,4193.0771484375,4180.6411132813,4173.2050781250,,,
0.0468750000,1,4182.1796875000,4167.6923828125,4174.6152343750,4174.2309570313,4197.8203125000,4179.6152343750,4155.8974609375,4187.0512695313,4186.6665039063,4195.1284179688,4181.6665039063,4182.1796875000,4171.5385742188,4162.5639648438,,,
0.0546875000,1,4187.4360351563,4174.7436523438,4174.7436523438,4169.6152343750,4191.2822265625,4183.7177734375,4158.2050781250,4187.1796875000,4184.3588867188,4181.2822265625,4185.1284179688,4190.6411132813,4176.4101562500,4170.8974609375,,,
0.0625000000,2,4189.7436523438,4179.6152343750,4177.6923828125,4176.7949218750,4200.2563476563,4189.3588867188,4161.0258789063,4196.0258789063,4190.5126953125,4180.2563476563,4193.3334960938,4195.3847656250,4180.1284179688,4178.5898437500,,,
0.0703125000,2,4187.9487304688,4175.3847656250,4171.7949218750,4176.5385742188,4198.5898437500,4183.5898437500,4160.8974609375,4189.4873046875,4183.9741210938,4181.7949218750,4181.7949218750,4186.7949218750,4163.4614257813,4169.6152343750,,,
0.0781250000,2,4185.2563476563,4174.6152343750,4172.4360351563,4177.4360351563,4189.2309570313,4182.4360351563,4158.4614257813,4187.8203125000,4183.0771484375,4186.4101562500,4172.5639648438,4185.0000000000,4158.7177734375,4166.6665039063,,,
0.0859375000,2,4199.6152343750,4181.2822265625,4180.8974609375,4188.5898437500,4195.8974609375,4188.9741210938,4164.7436523438,4194.1025390625,4191.9228515625,4190.7690429688,4185.7690429688,4197.6923828125,4172.3076171875,4177.1796875000,,,
0.0937500000,3,4194.8715820313,4178.5898437500,4174.3588867188,4186.0258789063,4201.7949218750,4184.7436523438,4162.6923828125,4187.0512695313,4189.1025390625,4187.5639648438,4190.3847656250,4192.6923828125,4173.0771484375,4176.0258789063,,,
0.1015625000,3,4181.6665039063,4166.1538085938,4164.1025390625,4169.6152343750,4192.4360351563,4179.6152343750,4160.1284179688,4178.7177734375,4180.5126953125,4183.3334960938,4175.6411132813,4181.2822265625,4167.0512695313,4164.8715820313,,,
0.1093750000,3,4186.1538085938,4167.5639648438,4174.7436523438,4168.4614257813,4189.8715820313,4183.9741210938,4159.2309570313,4183.0771484375,4182.5639648438,4182.8203125000,4179.2309570313,4190.0000000000,4174.3588867188,4168.4614257813,,,
0.1171875000,3,4190.0000000000,4172.4360351563,4180.6411132813,4174.4873046875,4185.7690429688,4177.3076171875,4157.3076171875,4184.2309570313,4185.5126953125,4179.2309570313,4191.2822265625,4198.3334960938,4177.4360351563,4176.0258789063,,,
0.1250000000,4,4190.0000000000,4168.3334960938,4172.1796875000,4175.1284179688,4182.1796875000,4172.1796875000,4156.4101562500,4178.7177734375,4181.1538085938,4181.5385742188,4181.7949218750,4191.9228515625,4169.6152343750,4175.2563476563,,,
0.1328125000,4,4190.7690429688,4173.5898437500,4176.4101562500,4177.9487304688,4190.0000000000,4182.9487304688,4154.3588867188,4179.7436523438,4178.8461914063,4187.3076171875,4180.7690429688,4190.7690429688,4173.7177734375,4171.6665039063,,,
0.1406250000,4,4193.3334960938,4174.1025390625,4178.2050781250,4170.8974609375,4183.3334960938,4178.8461914063,4155.8974609375,4181.9228515625,4180.3847656250,4184.3588867188,4191.6665039063,4195.5126953125,4182.3076171875,4182.4360351563,,,
0.1484375000,4,4187.4360351563,4162.8203125000,4169.1025390625,4165.5126953125,4172.1796875000,4166.9228515625,4149.1025390625,4179.6152343750,4187.5639648438,4189.1025390625,4186.5385742188,4189.2309570313,4181.0258789063,4179.6152343750,,,
0.1562500000,5,4185.7690429688,4158.5898437500,4164.3588867188,4168.7177734375,4176.0258789063,4172.5639648438,4150.8974609375,4183.7177734375,4191.5385742188,4190.8974609375,4175.2563476563,4181.0258789063,4176.4101562500,4172.9487304688,,,
0.1640625000,5,4180.2563476563,4161.7949218750,4165.1284179688,4167.0512695313,4184.2309570313,4184.7436523438,4157.9487304688,4199.1025390625,4193.4614257813,4185.0000000000,4176.5385742188,4180.8974609375,4179.1025390625,4172.1796875000,,,
0.1718750000,5,4189.8715820313,4162.9487304688,4166.0258789063,4166.2822265625,4184.3588867188,4182.9487304688,4158.4614257813,4190.6411132813,4187.9487304688,4179.3588867188,4175.1284179688,4187.8203125000,4180.3847656250,4176.1538085938,,,
