Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.1796875000,5,4158.8461914063,4155.7690429688,4145.6411132813,4140.7690429688,4160.2563476563,4158.4614257813,4161.0258789063,4169.6152343750,4160.2563476563,4163.9741210938,4151.7949218750,4150.3847656250,4148.9741210938,4129.7436523438,,,
0.1875000000,6,4160.2563476563,4155.8974609375,4146.4101562500,4139.8715820313,4154.3588867188,4151.9228515625,4169.6152343750,4173.3334960938,4165.3847656250,4164.2309570313,4157.9487304688,4154.7436523438,4156.1538085938,4131.0258789063,,,
0.1953125000,6,4156.1538085938,4158.2050781250,4153.8461914063,4147.3076171875,4161.9228515625,4158.3334960938,4162.1796875000,4166.4101562500,4165.6411132813,4165.3847656250,4150.2563476563,4155.1284179688,4165.6411132813,4127.6923828125,,,
0.2031250000,6,4155.0000000000,4152.1796875000,4152.0512695313,4142.8203125000,4162.0512695313,4160.5126953125,4163.3334960938,4167.8203125000,4153.9741210938,4164.8715820313,4149.2309570313,4153.4614257813,4166.4101562500,4122.0512695313,,,
0.2109375000,6,4156.7949218750,4151.0258789063,4145.8974609375,4138.5898437500,4161.6665039063,4167.0512695313,4165.0000000000,4173.2050781250,4166.7949218750,4177.5639648438,4158.9741210938,4154.3588867188,4159.4873046875,4130.5126953125,,,
0.2187500000,7,4159.7436523438,4162.3076171875,4150.5126953125,4148.3334960938,4172.4360351563,4176.5385742188,4167.6923828125,4173.7177734375,4180.8974609375,4182.1796875000,4164.2309570313,4158.2050781250,4155.7690429688,4132.1796875000,,,
0.2265625000,7,4159.1025390625,4158.5898437500,4149.4873046875,4144.4873046875,4172.4360351563,4172.9487304688,4172.0512695313,4170.0000000000,4171.5385742188,4172.5639648438,4158.0771484375,4154.8715820313,4165.1284179688,4124.6152343750,,,
0.2343750000,7,4152.0512695313,4144.7436523438,4139.7436523438,4131.7949218750,4162.9487304688,4166.0258789063,4166.2822265625,4169.7436523438,4161.6665039063,4166.9228515625,4146.1538085938,4147.1796875000,4156.1538085938,4117.6923828125,,,
0.2421875000,7,4153.7177734375,4155.8974609375,4144.2309570313,4136.6665039063,4162.9487304688,4167.0512695313,4164.7436523438,4176.5385742188,4162.5639648438,4164.4873046875,4151.2822265625,4148.8461914063,4145.5126953125,4122.0512695313,,,
0.2500000000,8,4159.3588867188,4168.2050781250,4152.9487304688,4145.5126953125,4171.6665039063,4172.3076171875,4167.6923828125,4172.6923828125,4174.4873046875,4175.0000000000,4166.7949218750,4155.3847656250,4160.3847656250,4133.7177734375,,,
