Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.1093750000,7,1023.6928696990,1026.8277755971,1027.8359892081,1027.1286958012,1016.4357268785,1019.0909531125,1012.4488696377,1012.9544081009,1012.7338523588,1022.2898024858,1029.4962315583,1029.1489186318,1029.8139544866,1020.9045083971,,,
0.1132812500,7,1122.2189034619,1125.6834506636,1126.8294352748,1126.0434746599,1114.2085337345,1117.0909742051,1109.8512832791,1110.4069833308,1110.2399373537,1120.6163568316,1128.6387371315,1128.3343831309,1128.9474526948,1119.1801832964,,,
0.1171875000,7,1224.2785951246,1228.0892146509,1229.3809321557,1228.5167873391,1215.4830235672,1218.5953337430,1210.7468314506,1211.3511502020,1211.2456073178,1222.4640710370,1231.3453472323,1231.0939002577,1231.6381727308,1220.9832981465,,,
0.1210937500,7,1329.5539179706,1333.7268547528,1335.1715905105,1334.2311226633,1319.9440090483,1323.2876367171,1314.8220412537,1315.4726415593,1315.4372465115,1327.5158343383,1337.2969779575,1337.1085496493,1337.5668848219,1325.9972074821,,,
0.1250000000,8,1437.7093721011,1442.2606866559,1443.8649716302,1442.8514813158,1427.2595806479,1430.8344032218,1421.7462828263,1422.4401205099,1422.4845228907,1435.4371625274,1446.1569404633,1446.0417525462,1446.3968360860,1433.8878684201,,,
0.1289062500,8,1548.3949835732,1553.3405696229,1555.1100922779,1554.0283637451,1537.0839589781,1540.8879644971,1531.1747158055,1531.9080601164,1532.0430438673,1545.8792057981,1557.5739082125,1557.5422690730,1557.7766531257,1544.3067903838,,,
0.1328125000,8,1661.2492864346,1666.6048869764,1668.5443992198,1667.4007325756,1649.0601794650,1653.0892678142,1642.7511769107,1643.5196078025,1643.7570147446,1658.4817351912,1671.1848776256,1671.2471729765,1671.3432503680,1656.8939851244,,,
0.1367187500,8,1775.9022648926,1781.6834596580,1783.7966861474,1782.5989082233,1762.8227511346,1767.0706540759,1756.1110017344,1756.9094456115,1757.2619688860,1772.8760507022,1786.6181036654,1786.7847746337,1786.7247346979,1771.2808891540,,,
0.1406250000,9,1891.9782298687,1898.2003704003,1900.4899347451,1899.2473685186,1878.0003721052,1882.4586638661,1870.8837846670,1871.7066165201,1872.1875419030,1888.6877717001,1903.4959585551,1903.7774617100,1903.5432734906,1887.0932104256,,,
0.1445312500,9,2009.0986023380,2015.7766937878,2018.2440764850,2016.9674441123,1994.2186365594,1998.8768440940,1986.6960751774,1987.5372620450,1988.1601897360,2005.5395071284,2021.4376533943,2021.8444366670,2021.4178790218,2003.9536567937,,,
0.1484375000,9,2126.8845664350,2134.0331299810,2136.6786593752,2135.3799146095,2111.1025896741,2115.9484352317,2103.1739861874,2104.0272166078,2104.8057288064,2123.0534338470,2140.0618152325,2140.6043462851,2139.9670727767,2121.4845336514,,,
0.1523437500,9,2244.9595601975,2252.5925184264,2255.4153738263,2254.1075044706,2228.2790802052,2233.2988389920,2219.9456740690,2220.8044226364,2221.7516313423,2240.8537953621,2258.9889629675,2259.6777985656,2258.8114170930,2239.3102202494,,,
0.1562500000,10,2362.9516004556,2371.0821916761,2374.0803926736,2372.7772611079,2345.3790087565,2350.5578920291,2336.6436658528,2337.5011572647,2338.6291206826,2358.5692817713,2377.8438980959,2378.6897425186,2377.5759121242,2357.0595231877,,,
0.1601562500,10,2480.4954538008,2489.1361427543,2492.3065164586,2491.0227919412,2462.0395877034,2467.3620367220,2452.9070401092,2453.7560910123,2455.0752009842,2475.8352389566,2496.2579795385,2497.2716804934,2495.8922514148,2474.3678856228,,,
0.1640625000,10,2597.2346605939,2606.3970135329,2609.7351577339,2608.4863460296,2577.9066116969,2583.3564283131,2568.3834807537,2569.2162300081,2570.7347578437,2592.2957003071,2613.8712520597,2615.0637101858,2613.4009284591,2590.8794331398,,,
0.1679687500,10,2712.8234189188,2722.5179411411,2726.0182223984,2724.8207360915,2692.6366162201,2698.1969378696,2682.7312084744,2683.5388054092,2685.2627664893,2707.6052861570,2730.3344200531,2731.7164312820,2729.7531922838,2706.2488586995,,,
0.1718750000,11,2826.9283370186,2837.1643031430,2840.8199265796,2839.6910997306,2805.8987785292,2811.5519732775,2795.6207668059,2796.3931373652,2798.3264892768,2821.4310274206,2845.3106699795,2846.8927609675,2844.6128518919,2820.1431676900,,,
0.1757812500,11,2939.2300513896,2950.0153765981,2953.8185288855,2952.7764959287,2917.3764986583,2923.1040702693,2906.7366254408,2907.4624278179,2909.6074412440,2933.4541223861,2958.4773384111,2960.2696632044,2957.6579254080,2932.2433029325,,,
0.1796875000,11,3049.4246888178,3060.7658874065,3064.7079063581,3063.7713337637,3026.7687071921,3032.5512783870,3015.7785759889,3016.4453807775,3018.8029481656,3043.3715545120,3069.5274059927,3071.5397361169,3068.5821249198,3042.2456493879,,,
0.1835937500,11,3157.2251436689,3169.1273984940,3173.1989011267,3172.3866391528,3133.7909909067,3139.6084142319,3122.4629256515,3123.0575562354,3125.6273034666,3150.8974479784,3178.1707867024,3180.4125747185,3177.0961653418,3149.8633925966,,,
0.1875000000,12,3262.3621558750,3274.8294860856,3279.0204117404,3278.3511701548,3238.1765925665,3244.0082278938,3226.5235210187,3227.0324281816,3229.8127078651,3255.7640726263,3284.1353901505,3286.6158585288,3282.9288852489,3254.8276884712,,,
